section,model,case_id,retrieved_case,rank,metric,value,explanation,doctor_note,semantic_distance_note
encoder_comparison,autoencoder_visual_only,,,,precision_at_5,0.0413,Mean precision@5 over all query cases.,Higher precision means more retrieved cases are semantically close to the query case.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
encoder_comparison,autoencoder_visual_only,,,,recall_at_5,0.0207,Mean recall@5 over all query cases.,Higher recall means the retrieved set captures more of the semantic neighborhood around the query case.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
encoder_comparison,autoencoder_visual_only,,,,ndcg_at_5,0.5070,Mean nDCG@5 over all query cases.,Higher nDCG means the most relevant cases appear earlier in the ranking.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
encoder_comparison,autoencoder_visual_only,,,,mean_semantic_distance_at_5,4.5259,Mean semantic distance of retrieved top-5 cases.,Lower semantic distance means closer tumor morphology according to mask-derived features.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
encoder_comparison,contrastive_visual_only,,,,precision_at_5,0.4082,Mean precision@5 over all query cases.,Higher precision means more retrieved cases are semantically close to the query case.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
encoder_comparison,contrastive_visual_only,,,,recall_at_5,0.2041,Mean recall@5 over all query cases.,Higher recall means the retrieved set captures more of the semantic neighborhood around the query case.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
encoder_comparison,contrastive_visual_only,,,,ndcg_at_5,0.7539,Mean nDCG@5 over all query cases.,Higher nDCG means the most relevant cases appear earlier in the ranking.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
encoder_comparison,contrastive_visual_only,,,,mean_semantic_distance_at_5,2.8002,Mean semantic distance of retrieved top-5 cases.,Lower semantic distance means closer tumor morphology according to mask-derived features.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
encoder_comparison,autoencoder_hybrid_0.75,,,,precision_at_5,0.9777,Mean precision@5 over all query cases.,Higher precision means more retrieved cases are semantically close to the query case.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
encoder_comparison,autoencoder_hybrid_0.75,,,,recall_at_5,0.4889,Mean recall@5 over all query cases.,Higher recall means the retrieved set captures more of the semantic neighborhood around the query case.,"semantic distance = 0.000 means closest normalized match after row-wise min-max scaling, not identical anatomy or identical tumor morphology."
